file,level,segment,tone,tone_label,majority,p_neg,p_neu,p_pos,confidence,coverage,n_clean,n_total,flag_review,reason
1.srt,programme,-,neu,neutral,neu,0.061,0.909,0.03,0.913,0.55,33,60,False,
1.srt,segment,0-11,neu,neutral,neu,0.0,1.0,0.0,0.956,0.083,1,12,True,low_coverage(0.08)
1.srt,segment,12-23,neu,neutral,neu,0.125,0.875,0.0,0.893,0.667,8,12,False,
1.srt,segment,24-35,neu,neutral,neu,0.167,0.833,0.0,0.955,0.5,6,12,False,
1.srt,segment,36-47,neu,neutral,neu,0.0,0.889,0.111,0.881,0.75,9,12,False,
1.srt,segment,48-59,neu,neutral,neu,0.0,1.0,0.0,0.929,0.75,9,12,False,
10.srt,programme,-,neg,negative-leaning,neu,0.277,0.677,0.046,0.911,0.929,195,210,False,
10.srt,segment,0-11,neg,negative-leaning,neu,0.3,0.7,0.0,0.892,0.833,10,12,False,
10.srt,segment,12-23,pos,positive-leaning,neu,0.167,0.583,0.25,0.781,1.0,12,12,True,mixed_neg_pos
10.srt,segment,24-35,neu,neutral,neu,0.0,1.0,0.0,0.944,0.833,10,12,False,
10.srt,segment,36-47,neu,neutral,neu,0.0,1.0,0.0,0.917,0.833,10,12,False,
10.srt,segment,48-59,neu,neutral,neu,0.0,1.0,0.0,0.931,0.917,11,12,False,
10.srt,segment,60-71,neu,neutral,neu,0.0,1.0,0.0,0.943,0.917,11,12,False,
10.srt,segment,72-83,neu,neutral,neu,0.2,0.8,0.0,0.932,0.833,10,12,False,
10.srt,segment,84-95,neu,neutral,neu,0.0,1.0,0.0,0.944,0.917,11,12,False,
10.srt,segment,96-107,neu,neutral,neu,0.167,0.833,0.0,0.945,1.0,12,12,False,
10.srt,segment,108-119,neg,negative-leaning,neg,0.667,0.333,0.0,0.884,1.0,12,12,False,
10.srt,segment,120-131,neg,negative-leaning,neg,0.417,0.417,0.167,0.892,1.0,12,12,False,
10.srt,segment,132-143,neg,negative-leaning,neg,0.583,0.417,0.0,0.939,1.0,12,12,False,
10.srt,segment,144-155,neg,negative-leaning,neu,0.333,0.667,0.0,0.898,1.0,12,12,False,
10.srt,segment,156-167,neg,negative-leaning,neg,0.833,0.167,0.0,0.945,1.0,12,12,False,
10.srt,segment,168-179,neg,negative-leaning,neg,0.6,0.3,0.1,0.879,0.833,10,12,False,
10.srt,segment,180-191,neu,neutral,neu,0.182,0.818,0.0,0.949,0.917,11,12,False,
10.srt,segment,192-203,pos,positive-leaning,neu,0.167,0.583,0.25,0.867,1.0,12,12,True,mixed_neg_pos
